ID_Product;Quantity;Quantity_Fourniss_After_Cumule;Qty Available
13538579959;1;10;10
13538579959;9;10;10
13538656548;2;2;2
13547678271;1;1;1
13547841815;1;1;1
13627805607;5;5;5
13627809159;1;1;1
13711436861;4;4;4
13712248425;2;2;2
13717532754;10;10;10
13717536006;1;1;1
13717542545;1;1;1
13717548897;1;1;1
13717548898;1;1;1
13717577457;10;10;10
13717590597;1;1;1
13717597586;12;12;12
13717599226;2;2;2
13717599285;1;2;2
13717599285;1;2;2
13717605436;1;1;1
13717785736;1;1;1
13717800151;10;10;10
13718509032;1;1;1
13718513944;5;5;5
13718516241;4;5;5
13718516241;1;5;5
13718577170;19;19;19
13718577171;29;45;45
13718577171;15;45;45
13718577171;1;45;45
13718611921;1;1;1
13721278138;2;2;2
13721477840;2;3;3
13721477840;1;3;3
13721491749;5;5;5
13721702907;1;1;1
13721702908;1;1;1
13721707021;2;2;2
13721715881;2;2;2
13727838805;1;1;1
13907623241;1;1;1
13908047175;1;1;1
16116766166;1;1;1
16117176784;1;1;1
16117200073;2;2;2
16117468994;2;3;3
16117468994;1;3;3
16117705637;2;2;2
16127214976;1;1;1
16127233840;1;2;2
16127233840;1;2;2
16127236941;1;1;1
16127336281;1;1;1
16127356580;1;1;1
16141184749;1;1;1
16142754862;2;2;2
16147174894;1;1;1
16197278553;1;1;1
16197315647;1;1;1
16197320526;1;1;1
17117790897;1;3;3
17117790897;2;3;3
17122754231;1;1;1
17122754573;1;1;1
17127514406;1;1;1
17127540020;1;1;1
17127617368;1;1;1
17128571346;1;1;1
17128577058;1;1;1
17129894740;1;1;1
17213448627;1;1;1
17428528785;1;1;1
17518636368;2;2;2
18107848537;1;1;1
18107853945;2;2;2
18201439497;1;1;1
18202249994;1;1;1
18207521427;1;1;1
18207546979;1;1;1
18207832991;1;1;1
18208631947;3;3;3
18212248036;1;1;1
18217558661;1;1;1
18217785901;1;1;1
18217788015;1;1;1
18301427765;1;1;1
18302298448;1;1;1
18302406604;1;1;1
18302455257;1;1;1
18303411065;1;1;1
18303413587;1;1;1
18303453544;1;1;1
18307536425;4;4;4
18307536426;2;2;2
18307560777;1;2;2
18307560777;1;2;2
18307613668;1;1;1
18307633312;1;2;2
18307633312;1;2;2
18307793794;1;1;1
18308589078;1;1;1
18308605660;2;2;2
18308623284;1;1;1
18308668527;1;1;1
18308693923;1;1;1
18309844620;1;1;1
18325A0A109;1;1;1
18328685981;2;2;2
21518657323;1;1;1
21518657324;1;1;1
21526865168;1;1;1
22116750441;1;1;1
22116753225;1;1;1
22116754185;1;1;1
22116759570;4;4;4
22116760309;1;1;1
22116761150;1;1;1
22116765561;1;1;1
22116772154;1;1;1
22116777624;1;1;1
22116793003;1;1;1
22116796781;1;1;1
22118053492;1;1;1
22119812036;2;2;2
22316770289;1;1;1
23009446522;4;4;4
23117589987;1;1;1
23711128615;23;23;23
24117552108;10;10;10
24148699921;2;2;2
24148699925;1;1;1
24341422513;1;1;1
25112753810;1;1;1
25117525816;17;26;26
25117525816;9;26;26
25117547369;1;1;1
25117596082;1;1;1
25118613703;1;1;1
25118618512;1;1;1
27103403206;1;1;1
27107539265;1;1;1
27208664477;1;1;1
27218835654;2;2;2
27717726616;2;2;2
27727727467;3;3;3
28008486563;1;1;1
31101096987;2;7;7
31101096987;5;7;7
31102348042;1;1;1
31106757145;8;14;14
31106757145;6;14;14
31106783907;50;50;50
31106862545;40;40;40
31106868404;1;1;1
31106878594;1;1;1
31108053073;2;2;2
31116757912;1;1;1
31121094233;3;3;3
31126757551;1;1;1
31126777739;1;1;1
31126777744;1;1;1
31126787669;1;1;1
31203450600;1;1;1
31206855906;16;16;16
31222311523;1;1;1
