ID_Product,Quantity,Quantity_Fourniss_After_Cumule,Quantity Available
10-5197,1,1,1
10-3700,2,2,2
10-6152,1,1,1
10-1730,1,1,1
10-3402,10,10,10
10-1511,1,1,1
10-6320,7,7,7
10-4267,4,4,4
10-2730,2,2,2
10-3442,1,1,1
10-3600,8,8,8
10-3309,12,12,12
10-1186,5,5,5
10-5665,2,2,2
10-5442,1,1,1
10-1589,48,48,48
10-3793,1,1,1
10-0789,13,13,13
10-1380,8,8,8
10-0607,38,38,38
10-5990,1,1,1
10-0712,17,17,17
10-4436,23,23,23
10-5387,1,1,1
10-0883,1,1,1
10-0432U,8,8,8
10-6256,3,3,3
10-1432,7,7,7
10-4096,1,1,1
10-4266,14,14,14
10-0657,8,8,8
10-3568,1,1,1
10-0875,23,23,23
10-1187,15,15,15
10-6218,1,1,1
10-5500,9,9,9
10-5832,2,2,2
10-6258,1,1,1
10-1203,11,11,11
10-1658,1,1,1
10-0189,2,2,2
10-5429,1,1,1
10-4593,1,1,1
10-0095,12,12,12
10-3467,1,1,1
10-4392,8,8,8
10-1182,11,11,11
10-2130,3,3,3
10-2590,1,1,1
10-2160,4,4,4
10-1954,20,20,20
10-0597,24,24,24
10-6333,17,17,17
10-0632,6,6,6
10-0668,1,1,1
10-0845U,1,1,1
10-0433U,1,1,1
10-3671,2,2,2
10-4559U,4,4,4
10-0554U,1,1,1
10-1546,1,1,1
10-1486,1,1,1
10-0636,29,29,29
10-2037,8,8,8
10-5772,9,9,9
10-0266,1,1,1
10-0400,7,7,7
10-0186,3,3,3
10-4455,3,3,3
10-0746,3,3,3
10-3419,3,3,3
10-4102,2,2,2
10-1823,1,1,1
10-0123,2,2,2
10-6202,3,3,3
10-0905,4,4,4
10-0259,46,46,46
10-1081,5,5,5
10-1249,6,6,6
10-4206,6,6,6
10-1003,2,2,2
10-1597,3,3,3
10-1654U,1,1,1
10-4293,2,2,2
10-0376,6,6,6
10-6280,1,1,1
10-0609,3,3,3
10-0645,4,4,4
10-1962,11,11,11
10-0025,1,1,1
10-0066,15,15,15
10-1519,10,10,10
10-3780,6,6,6
10-2167,5,5,5
10-0269,6,6,6
10-4443,6,6,6
10-1588,7,7,7
10-0023,4,4,4
10-0106,10,10,10
10-0571,1,1,1
10-0249,10,10,10
10-0388,3,3,3
10-3740,2,2,2
10-0837,1,1,1
10-0519,4,4,4
10-1038,3,3,3
10-0313,7,7,7
10-1365,3,3,3
10-0833,15,15,15
10-2079,9,9,9
10-2266,1,1,1
10-1960,9,9,9
10-0004,5,5,5
10-0959,1,1,1
10-1478,1,1,1
10-0417,1,1,1
10-4134,1,1,1
10-0268,57,57,57
10-3863,1,1,1
10-3482,1,1,1
10-0403U,1,1,1
10-2024,1,1,1
10-0991,20,20,20
10-2070,5,5,5
10-1652,1,1,1
10-0044U,1,1,1
10-1809U,1,1,1
10-1405U,1,1,1
10-0187,1,1,1
10-6299,16,16,16
10-2567,11,11,11
10-0355,1,1,1
10-2117,1,1,1
10-2715,3,3,3
10-1406,5,5,5
10-2623,1,1,1
10-6200,6,6,6
10-0756,7,7,7
10-4245,1,1,1
10-0209,2,2,2
10-0588,11,11,11
10-3178,3,3,3
10-1723,9,9,9
10-5579,38,38,38
10-4599,5,5,5
10-0082,7,7,7
10-0374,2,2,2
10-0149,32,32,32
10-1678,4,4,4
10-3775,1,1,1
10-0818,16,16,16
10-0179,2,2,2
10-3756,6,6,6
10-4560,6,6,6
10-0884,13,13,13
10-3157,2,2,2
10-1878,15,15,15
10-2111U,1,1,1
10-0798,10,10,10
10-0842,1,1,1
10-0091,7,7,7
10-1564,1,1,1
10-0173,7,7,7
10-1507,13,13,13
10-1845,2,2,2
10-4681,6,6,6
10-6254,1,1,1
10-1238,5,5,5
10-6010,3,3,3
10-3954,2,2,2
10-4279,4,4,4
10-1660,2,2,2
10-0477,4,4,4
10-0283,2,2,2
10-3418,5,5,5
10-4185,1,1,1
10-1491,1,1,1
10-6034,1,1,1
10-0140,1,1,1
10-3538,2,2,2
10-0142,14,14,14
10-0906,1,1,1
10-0080,2,2,2
10-0037,1,1,1
10-1051,2,2,2
10-6304,3,3,3
10-2127,2,2,2
10-0619,7,7,7
10-0079,1,1,1
10-4027,1,1,1
10-0903,3,3,3
10-1541,9,9,9
10-0834,1,1,1
10-1862,1,1,1
10-1753,1,1,1
10-1993,1,1,1
10-0440,8,8,8
10-6294,1,1,1
10-1420,2,2,2
10-0606,14,14,14
10-5561,3,3,3
10-0938,2,2,2
10-4175,1,1,1
10-1804,2,2,2
10-0220,9,9,9
10-1068,1,1,1
10-4120,6,6,6
10-3792,1,1,1
10-4467,2,2,2
10-0222,5,5,5
10-1619,1,1,1
10-1002,9,9,9
10-6032,2,2,2
10-1574,9,9,9
10-4629,2,2,2
10-1847,3,3,3
10-2027,1,1,1
10-3122,1,1,1
10-1649,1,1,1
10-4561,2,2,2
10-0954,1,1,1
10-3206,7,7,7
10-0613,3,3,3
10-0460,1,1,1
10-0499,1,1,1
10-0581,2,2,2
10-1728,2,2,2
10-4428,2,2,2
10-1764,15,15,15
10-0623,13,13,13
10-4551,2,2,2
10-0174,1,1,1
10-1116,23,23,23
10-3191,1,1,1
10-1951,2,2,2
10-3160,8,8,8
10-1207,1,1,1
10-3739,3,3,3
10-2248,6,6,6
10-0950,2,2,2
10-4549,2,2,2
10-1675,1,1,1
10-4256,2,2,2
10-5583,1,1,1
10-3794,5,5,5
10-2561,1,1,1
10-6251,1,1,1
10-4240,1,1,1
10-5673,3,3,3
10-6077,2,2,2
10-0793,1,1,1
10-0653,3,3,3
10-1852,3,3,3
10-3211,1,1,1
10-1022,3,3,3
10-1208,2,2,2
10-0050,7,7,7
10-6067,2,2,2
10-0385,3,3,3
10-1974,1,1,1
10-5905,2,2,2
10-5634,2,2,2
10-5211,3,3,3
10-3963,2,2,2
10-2757,2,2,2
10-0405,7,7,7
10-6204,9,9,9
10-3554,2,2,2
10-6135,1,1,1
10-0433,3,3,3
10-3311,3,3,3
10-0542,5,5,5
10-0226,2,2,2
10-1498,2,2,2
10-1807,2,2,2
10-1056,4,4,4
10-0827,49,49,49
10-6195,1,1,1
10-0907,2,2,2
10-2222,2,2,2
10-3777,2,2,2
10-5558,1,1,1
10-6044,2,2,2
10-0285,3,3,3
10-2620,5,5,5
10-0945,2,2,2
10-4413,2,2,2
10-3809,2,2,2
10-0617,2,2,2
10-0212,1,1,1
10-0416,2,2,2
10-4237,5,5,5
10-0412,2,2,2
10-2269,3,3,3
10-0670,2,2,2
10-0687,2,2,2
10-5737,1,1,1
10-4716,1,1,1
10-2109,1,1,1
10-6338,1,1,1
10-1463,2,2,2
10-3212,1,1,1
10-1959,1,1,1
10-0662,2,2,2
10-0677,2,2,2
10-4492,1,1,1
10-5258,1,1,1
10-3657,1,1,1
10-4414,53,53,53
10-3537,5,5,5
10-3738,12,12,12
10-0454,4,4,4
10-6068,1,1,1
10-0999,7,7,7
10-1041,3,3,3
10-4257,2,2,2
10-1558,2,2,2
10-1650,1,1,1
10-2570,1,1,1
10-1392,1,1,1
10-2581,1,1,1
10-0036,30,30,30
10-1088,9,9,9
10-0420,1,1,1
10-6292,1,1,1
10-1062,7,7,7
10-0928,13,13,13
10-0122,4,4,4
10-0568,1,1,1
10-2098,4,4,4
10-0994,11,11,11
10-5728,1,1,1
10-3820,11,11,11
10-0759,1,1,1
10-0364,3,3,3
10-0528,2,2,2
10-0551,18,18,18
10-0856,3,3,3
10-4143,29,29,29
10-1241,1,1,1
10-4585,1,1,1
10-0955,10,10,10
10-1461,4,4,4
10-3499,1,1,1
10-0771,9,9,9
10-0716,3,3,3
10-1474,1,1,1
10-1117,5,5,5
10-0099,7,7,7
10-1870,4,4,4
10-6272,2,2,2
10-2031,3,3,3
10-3767,1,1,1
10-4271,15,15,15
10-1547,1,1,1
10-5622U,5,5,5
10-0329,20,20,20
10-6244,3,3,3
10-4304,1,1,1
10-1454,13,13,13
10-1064,7,7,7
10-5588,1,1,1
10-4519,2,2,2
10-0732,15,15,15
10-1377,2,2,2
10-0635,3,3,3
10-4426,8,8,8
10-6270,2,2,2
10-0495U,1,1,1
10-0183,3,3,3
10-4224,2,2,2
10-2045,5,5,5
10-4100,1,1,1
10-0961,3,3,3
10-0774,10,10,10
10-0691,10,10,10
10-6176U,4,4,4
10-6286,2,2,2
10-5741,1,1,1
10-0290,4,4,4
10-6363,1,1,1
10-3153,1,1,1
10-0214,4,4,4
10-0544,5,5,5
10-3642,6,6,6
10-6336,1,1,1
10-0478,2,2,2
10-5540,1,1,1
10-5824,2,2,2
10-1831,5,5,5
10-2072,1,1,1
10-1434,11,11,11
10-0409,1,1,1
10-6037,1,1,1
10-0634,5,5,5
10-6366,3,3,3
10-3294,3,3,3
10-6375,1,1,1
10-1302,1,1,1
10-1517,8,8,8
10-4600,1,1,1
10-4528,1,1,1
10-5894,1,1,1
10-4631,1,1,1
10-6071,1,1,1
10-6245,1,1,1
10-6250,1,1,1
10-1391,7,7,7
10-5517,1,1,1
10-2796,1,1,1
10-2930,1,1,1
10-1605U,6,6,6
10-0711,3,3,3
10-2182,1,1,1
10-0278,1,1,1
10-1019,11,11,11
10-3629,4,4,4
10-3759,7,7,7
10-1260,1,1,1
10-5649U,1,1,1
10-3809U,1,1,1
10-6335U,2,2,2
10-1811,1,1,1
10-4487,3,3,3
10-5639,1,1,1
10-5524,1,1,1
10-6359,1,1,1
10-6179,1,1,1
10-0027,4,4,4
10-3555,2,2,2
10-0942,1,1,1
10-4644,1,1,1
10-3196,4,4,4
10-6230,4,4,4
10-2786,2,2,2
10-5741U,1,1,1
10-0003,2,2,2
10-4225,1,1,1
10-1657,4,4,4
10-2106,1,1,1
10-0684,1,1,1
10-4262,2,2,2
10-1197,7,7,7
10-2166,1,1,1
10-0747,1,1,1
10-0996,1,1,1
10-1244,2,2,2
10-1747,1,1,1
10-1762,2,2,2
10-0727,2,2,2
10-6207,11,11,11
10-2105,1,1,1
10-0748,2,2,2
10-0812,2,2,2
10-0835,6,6,6
10-1458,1,1,1
10-4575,3,3,3
10-1666,3,3,3
10-0604,1,1,1
10-1977,1,1,1
10-2472,8,8,8
10-1595,2,2,2
10-6372,4,4,4
10-1794,3,3,3
10-4601,1,1,1
10-2325,2,2,2
10-1811U,3,3,3
10-4189,2,2,2
10-3675,1,1,1
10-1499,3,3,3
10-1195,3,3,3
10-3546,1,1,1
10-0570,2,2,2
10-2008,1,1,1
10-1543,2,2,2
10-1742,3,3,3
10-2048,1,1,1
10-1966,2,2,2
10-0616,5,5,5
10-0235,6,6,6
10-6143,1,1,1
10-3925,1,1,1
10-3926,1,1,1
10-5954,1,1,1
10-6247,1,1,1
10-2735,2,2,2
10-2758,1,1,1
10-3384,3,3,3
10-3255,1,1,1
10-0652,3,3,3
10-2344,1,1,1
10-0221,1,1,1
10-1846,3,3,3
10-1540,2,2,2
10-3243,1,1,1
10-2776,2,2,2
10-4731,2,2,2
10-2782,3,3,3
10-5876,2,2,2
10-5888,1,1,1
10-1545,1,1,1
10-0904,1,1,1
10-3567,1,1,1
10-2193,3,3,3
10-1070,18,18,18
10-2338,2,2,2
10-0664,12,12,12
10-4433,39,39,39
10-2755,2,2,2
10-4181,1,1,1
10-5658,1,1,1
10-2175,3,3,3
10-3453,1,1,1
10-1570,4,4,4
10-1706,1,1,1
10-2713,1,1,1
10-1091,1,1,1
10-5858,1,1,1
10-0508,4,4,4
10-0401,31,31,31
10-2138,1,1,1
10-0840,41,41,41
10-4439,1,1,1
10-6290,4,4,4
10-0064,2,2,2
10-3676,2,2,2
10-0854U,1,1,1
10-1365U,2,2,2
10-1802,2,2,2
10-4287,5,5,5
10-5849,1,1,1
10-6327,4,4,4
10-6374,1,1,1
10-5324,1,1,1
10-3871,5,5,5
10-4386,1,1,1
10-3587,3,3,3
10-4177,2,2,2
10-6376,1,1,1
10-2564,1,1,1
10-0964,2,2,2
10-3282,1,1,1
10-0125,1,1,1
10-3296,2,2,2
10-1821,2,2,2
10-4006,1,1,1
10-6185,1,1,1
10-0874,9,9,9
10-4107,5,5,5
10-1514,1,1,1
10-1447,1,1,1
10-5831U,1,1,1
10-0396,5,5,5
10-2737,1,1,1
10-0022,1,1,1
10-2675,1,1,1
10-0111U,1,1,1
10-4093,1,1,1
10-3274,4,4,4
10-1046,8,8,8
10-6362,1,1,1
10-4228,7,7,7
10-1521,3,3,3
10-5988U,2,2,2
10-0014,3,3,3
10-0236,1,1,1
10-3179,1,1,1
10-0921,1,1,1
10-1871,5,5,5
10-2279,2,2,2
10-0356U,2,2,2
10-1165,1,1,1
10-6367,1,1,1
10-1869,1,1,1
10-0667,6,6,6
10-2242,8,8,8
10-3817,1,1,1
10-0153,25,25,25
10-1779,2,2,2
10-2577,1,1,1
10-6383,1,1,1
10-6364,2,2,2
10-1746,15,15,15
10-5503,1,1,1
10-6388,2,2,2
10-6199,4,4,4
10-0180,20,20,20
10-6385,1,1,1
10-6389,3,3,3
10-2038,2,2,2
10-4152,4,4,4
10-6381,11,11,11
10-5584,1,1,1
10-0181,15,15,15
10-1525,1,1,1
10-6386,3,3,3
10-6387,2,2,2
10-4374,1,1,1
10-2328,1,1,1
10-3731,1,1,1
10-5863,1,1,1
10-1760,2,2,2
10-4415U,3,3,3
10-2333,1,1,1
10-1707,2,2,2
10-2483,3,3,3
10-5860,5,5,5
10-4669,1,1,1
10-4115,1,1,1
10-1071,2,2,2
10-2343,1,1,1
10-3527,3,3,3
10-0545,1,1,1
10-5906,1,1,1
10-6399,1,1,1
10-2560U,5,5,5
10-1717U,3,3,3
10-5843,1,1,1
10-3477U,1,1,1
10-4179,3,3,3
10-1130,1,1,1
10-1008,4,4,4
10-0190,2,2,2
10-0223,3,3,3
10-0136,1,1,1
10-6400,1,1,1
10-1829,1,1,1
10-1851,1,1,1
10-6401,1,1,1
10-5893,2,2,2
10-4721,1,1,1
10-0589,1,1,1
10-2339,2,2,2
10-0387,2,2,2
10-0548,2,2,2
10-3855,1,1,1
10-4186,1,1,1
10-6398,1,1,1
10-0531,1,1,1
10-1864,1,1,1
10-4626,3,3,3
10-3826,1,1,1
10-1518,1,1,1
10-3401,7,7,7
10-4902,1,1,1
10-4398,2,2,2
10-1766,2,2,2
10-1011,3,3,3
10-4452,1,1,1
10-4639,1,1,1
10-2091,2,2,2
10-0674,2,2,2
10-1033,2,2,2
10-1059,2,2,2
10-0493,2,2,2
10-4690,1,1,1
10-0473,4,4,4
10-0895,1,1,1
10-3760,2,2,2
10-6012,10,10,10
10-4589,1,1,1
10-0919,1,1,1
10-5426,1,1,1
10-1854,2,2,2
10-6220,3,3,3
10-6378,1,1,1
10-3405,9,9,9
10-6390,1,1,1
10-3750,1,1,1
10-0767,2,2,2
10-1400,2,2,2
10-3381,3,3,3
10-0646,1,1,1
10-0427,1,1,1
10-1481,1,1,1
10-4703,1,1,1
10-4417,2,2,2
10-0170,1,1,1
10-5839,2,2,2
10-2497,1,1,1
10-1528,1,1,1
10-4277,1,1,1
10-4376,2,2,2
10-1590U,2,2,2
10-0261,10,10,10
10-4157,5,5,5
10-0231,1,1,1
10-4203,1,1,1
10-0210U,2,2,2
10-0859U,1,1,1
10-2181U,3,3,3
10-0543,1,1,1
10-3417,2,2,2
10-6248,1,1,1
10-0731,2,2,2
10-6246,1,1,1
10-0509X,1,1,1
10-0893,1,1,1
10-5210,2,2,2
10-0796,3,3,3
10-6343,1,1,1
10-0133,6,6,6
10-1670,1,1,1
10-0155,1,1,1
10-1049,1,1,1
10-0373,1,1,1
10-0696,1,1,1
10-1533,1,1,1
10-5494,5,5,5
10-1395,1,1,1
10-6116,6,6,6
10-1719,2,2,2
10-0055,1,1,1
10-3579,1,1,1
10-1418,2,2,2
10-1106,1,1,1
10-5883,7,7,7
10-2557,4,4,4
10-4722,1,1,1
10-0843,1,1,1
10-0920,2,2,2
10-6296,1,1,1
10-4604,2,2,2
10-0458,4,4,4
10-4404,1,1,1
10-4641,7,7,7
10-1079,1,1,1
10-4524,3,3,3
10-1007,1,1,1
10-0610,1,1,1
10-0615,5,5,5
10-1815,1,1,1
10-6168,2,2,2
10-3729,9,9,9
10-0973,1,1,1
10-3491,1,1,1
10-0319,2,2,2
10-4530,1,1,1
10-4635,2,2,2
10-0844,4,4,4
10-2238,1,1,1
10-4264,2,2,2
10-3953,7,7,7
10-0608,6,6,6
10-4110,5,5,5
10-6354,6,6,6
10-4654,1,1,1
10-6330,4,4,4
10-6252,2,2,2
10-4682,1,1,1
10-0351,2,2,2
10-1720,1,1,1
10-4569,3,3,3
10-3812,1,1,1
10-0618,2,2,2
10-1466,4,4,4
10-0719,1,1,1
10-3827,1,1,1
10-6180,1,1,1
10-1462,2,2,2
10-3481,3,3,3
10-0888,3,3,3
10-4223,1,1,1
10-4636,1,1,1
10-4150,3,3,3
10-4198,2,2,2
10-0304U,1,1,1
10-0975,3,3,3
10-5497,1,1,1
10-3409,2,2,2
10-0413,3,3,3
10-3181,3,3,3
10-0398,2,2,2
10-4729,1,1,1
10-0939,2,2,2
10-1600,10,10,10
10-2489,1,1,1
10-0243,3,3,3
10-0085,2,2,2
10-1066,3,3,3
10-0941,2,2,2
10-1104,5,5,5
10-2034,1,1,1
10-3773,8,8,8
10-4643,3,3,3
10-3905,7,7,7
10-0450,1,1,1
10-0753,1,1,1
10-1958,4,4,4
10-1410,1,1,1
10-1857,2,2,2
10-4242,2,2,2
10-1042,1,1,1
10-6194,1,1,1
10-5541,1,1,1
10-0703,2,2,2
10-4462,5,5,5
10-1076,1,1,1
10-1405,1,1,1
10-0182,2,2,2
10-1844,2,2,2
10-0196,1,1,1
10-6214,1,1,1
10-4542,5,5,5
10-1839,1,1,1
10-2041,1,1,1
10-4417U,1,1,1
10-0753U,2,2,2
10-6384U,1,1,1
10-4621,1,1,1
10-1554,2,2,2
10-0772,11,11,11
10-5701,1,1,1
10-0410,1,1,1
10-6160,1,1,1
10-0296,1,1,1
10-4083,1,1,1
10-1615,1,1,1
10-3770,1,1,1
10-4457,4,4,4
10-2864,5,5,5
10-3280,2,2,2
10-1016,1,1,1
10-1526,2,2,2
10-0184,1,1,1
10-3108,1,1,1
10-1190,6,6,6
10-0993,1,1,1
10-4159,1,1,1
10-0866,2,2,2
10-4460,2,2,2
10-4116,2,2,2
10-2718,4,4,4
10-0741,1,1,1
10-4595,1,1,1
10-3293,1,1,1
10-2465,1,1,1
10-3912,1,1,1
10-4222,3,3,3
10-0006,1,1,1
10-4205,1,1,1
10-3323,1,1,1
10-0967,2,2,2
10-3577,1,1,1
10-2271,2,2,2
10-6328,2,2,2
10-5495U,1,1,1
10-0479U,1,1,1
10-4231U,1,1,1
10-2093U,1,1,1
10-6391U,1,1,1
10-6210,1,1,1
10-0051,1,1,1
10-4661,1,1,1
10-0208,1,1,1
10-3651,1,1,1
10-0491,1,1,1
10-1051U,1,1,1
10-3368,1,1,1
