ID_Product,Quantity,Quantity_Fourniss_After_Cumule,AVAILABLE
95SKV701,100,100,100
09SKV902,100,100,100
02SKV262,100,100,100
02SKV226,100,100,100
07SKV137,100,100,100
95SKV900,100,100,100
02SKV716,0,0,0
02SKV257,100,100,100
17SKV002,100,100,100
02SKV231,100,100,100
08SKV020,100,100,100
08SKV231,100,100,100
08SKV019,100,100,100
03SKV003,100,100,100
03SKV188,0,0,0
03SKV121,100,100,100
03SKV020,100,100,100
17SKV005,100,100,100
17SKV009,100,100,100
09SKV016,100,100,100
09SKV057,100,100,100
09SKV031,100,100,100
10SKV167,100,100,100
10SKV125,100,100,100
08SKV211,100,100,100
14SKV004,100,100,100
14SKV002,100,100,100
07SKV146,100,100,100
07SKV086,100,100,100
07SKV149,100,100,100
07SKV143,100,100,100
03SKV004,100,100,100
03SKV023,100,100,100
03SKV025,100,100,100
03SKV059,100,100,100
03SKV012,100,100,100
03SKV062,100,100,100
03SKV006,100,100,100
06SKV039,100,100,100
06SKV013,100,100,100
06SKV008,100,100,100
06SKV036,100,100,100
06SKV015,100,100,100
17SKV101,100,100,100
06SKV031,100,100,100
17SKV100,100,100,100
17SKV222,100,100,100
06SKV018,100,100,100
06SKV020,100,100,100
17SKV105,100,100,100
17SKV115,100,100,100
95SKV951,100,100,100
06SKV056,100,100,100
06SKV037,100,100,100
17SKV220,100,100,100
06SKV048,100,100,100
06SKV122,100,100,100
17SKV212,100,100,100
17SKV224,100,100,100
17SKV219,100,100,100
09SKV903,100,100,100
09SKV041,100,100,100
09SKV036,100,100,100
02SKV001,100,100,100
02SKV276,100,100,100
02SKV275,100,100,100
02SKV247,100,100,100
02SKV270,100,100,100
07SKV049,100,100,100
06SKV123,100,100,100
06SKV042,100,100,100
06SKV006,100,100,100
06SKV007,100,100,100
07SKV006,100,100,100
07SKV067,100,100,100
07SKV051,100,100,100
07SKV070,100,100,100
07SKV074,100,100,100
07SKV075,100,100,100
07SKV085,100,100,100
07SKV108,100,100,100
07SKV113,100,100,100
07SKV129,100,100,100
07SKV138,100,100,100
02SKV258,100,100,100
02SKV260,100,100,100
02SKV008,100,100,100
02SKV746,100,100,100
02SKV020,100,100,100
02SKV217,0,0,0
02SKV729,100,100,100
02SKV265,100,100,100
02SKV266,100,100,100
08SKV224,100,100,100
08SKV235,100,100,100
08SKV232,100,100,100
08SKV229,100,100,100
03SKV021,100,100,100
03SKV022,100,100,100
03SKV032,100,100,100
03SKV039,100,100,100
03SKV056,0,0,0
03SKV070,100,100,100
03SKV074,100,100,100
03SKV085,100,100,100
03SKV044,100,100,100
17SKV107,100,100,100
17SKV104,100,100,100
17SKV116,0,0,0
17SKV108,100,100,100
09SKV011,100,100,100
09SKV015,100,100,100
09SKV023,100,100,100
09SKV026,100,100,100
09SKV049,100,100,100
95SKV600,100,100,100
95SKV601,0,0,0
17SKV004,100,100,100
17SKV011,100,100,100
17SKV008,100,100,100
17SKV014,100,100,100
17SKV001,100,100,100
17SKV006,100,100,100
17SKV010,100,100,100
01SKV011,100,100,100
01SKV012,100,100,100
01SKV051,100,100,100
01SKV052,100,100,100
01SKV111,100,100,100
02SKV253,100,100,100
02SKV274,100,100,100
02SKV721,100,100,100
09SKV905,100,100,100
09SKV071,0,0,0
08SKV205,100,100,100
08SKV222,100,100,100
06SKV045,100,100,100
06SKV046,100,100,100
06SKV120,100,100,100
06SKV067,100,100,100
06SKV060,100,100,100
07SKV139,100,100,100
07SKV088,100,100,100
07SKV140,100,100,100
07SKV100,100,100,100
03SKV137,100,100,100
03SKV130,100,100,100
03SKV035,100,100,100
03SKV907,100,100,100
03SKV900,100,100,100
03SKV904,100,100,100
03SKV068,100,100,100
07SKV141,100,100,100
17SKV114,100,100,100
17SKV007,100,100,100
17SKV012,100,100,100
08SKV035,100,100,100
02SKV238,100,100,100
02SKV706,100,100,100
02SKV267,0,0,0
02SKV259,100,100,100
02SKV707,100,100,100
06SKV075,100,100,100
06SKV033,100,100,100
06SKV034,100,100,100
06SKV105,100,100,100
06SKV129,100,100,100
06SKV093,100,100,100
06SKV049,100,100,100
06SKV051,100,100,100
06SKV074,100,100,100
06SKV035,100,100,100
06SKV012,100,100,100
06SKV001,100,100,100
17SKV226,100,100,100
02SKV719,100,100,100
17SKV231,100,100,100
17SKV208,100,100,100
07SKV102,100,100,100
07SKV060,0,0,0
03SKV058,100,100,100
03SKV131,100,100,100
03SKV046,100,100,100
03SKV065,100,100,100
03SKV027,100,100,100
03SKV028,100,100,100
03SKV097,100,100,100
03SKV148,100,100,100
03SKV011,0,0,0
03SKV038,100,100,100
03SKV045,100,100,100
03SKV060,100,100,100
03SKV051,100,100,100
03SKV037,100,100,100
03SKV036,100,100,100
03SKV061,100,100,100
03SKV138,100,100,100
03SKV031,100,100,100
03SKV067,100,100,100
03SKV084,100,100,100
03SKV086,0,0,0
03SKV117,100,100,100
03SKV071,100,100,100
03SKV109,100,100,100
03SKV081,100,100,100
03SKV111,100,100,100
03SKV066,100,100,100
10SKV173,100,100,100
10SKV169,100,100,100
10SKV083,0,0,0
10SKV161,100,100,100
10SKV145,100,100,100
10SKV020,100,100,100
10SKV171,100,100,100
10SKV170,100,100,100
10SKV137,0,0,0
10SKV172,100,100,100
10SKV162,100,100,100
10SKV164,0,0,0
10SKV014,100,100,100
10SKV126,100,100,100
10SKV138,0,0,0
10SKV021,100,100,100
03SKV128,100,100,100
17SKV013,100,100,100
02SKV218,100,100,100
06SKV106,100,100,100
06SKV050,100,100,100
06SKV058,100,100,100
07SKV002,100,100,100
07SKV098,100,100,100
07SKV145,100,100,100
06SKV044,100,100,100
06SKV141,100,100,100
10SKV157,100,100,100
17SKV230,100,100,100
06SKV130,100,100,100
06SKV090,100,100,100
06SKV094,100,100,100
06SKV054,100,100,100
06SKV102,100,100,100
06SKV124,100,100,100
06SKV121,0,0,0
03SKV033,100,100,100
03SKV050,100,100,100
03SKV049,100,100,100
03SKV123,100,100,100
03SKV189,100,100,100
08SKV203,100,100,100
08SKV215,0,0,0
08SKV202,0,0,0
08SKV213,100,100,100
08SKV214,0,0,0
08SKV204,0,0,0
08SKV207,0,0,0
02SKV708,100,100,100
02SKV720,100,100,100
06SKV028,100,100,100
06SKV027,100,100,100
06SKV021,100,100,100
06SKV019,100,100,100
05SKV012,100,100,100
02SKV722,100,100,100
03SKV163,0,0,0
03SKV100,100,100,100
03SKV055,100,100,100
06SKV010,100,100,100
17SKV200,100,100,100
12SKV023,100,100,100
12SKV022,100,100,100
12SKV017,0,0,0
12SKV019,100,100,100
12SKV021,100,100,100
12SKV013,100,100,100
12SKV024,100,100,100
14SKV041,100,100,100
14SKV011,100,100,100
14SKV010,100,100,100
14SKV009,100,100,100
14SKV035,100,100,100
14SKV042,100,100,100
14SKV016,100,100,100
14SKV018,100,100,100
14SKV008,100,100,100
14SKV017,0,0,0
14SKV021,100,100,100
14SKV003,100,100,100
08SKV041,100,100,100
08SKV042,100,100,100
02SKV210,100,100,100
10SKV160,100,100,100
10SKV144,100,100,100
10SKV084,0,0,0
10SKV005,100,100,100
10SKV011,100,100,100
10SKV163,100,100,100
10SKV153,100,100,100
10SKV154,100,100,100
10SKV009,100,100,100
10SKV119,100,100,100
10SKV025,100,100,100
10SKV166,100,100,100
10SKV139,100,100,100
10SKV143,100,100,100
10SKV102,100,100,100
10SKV152,100,100,100
10SKV146,0,0,0
10SKV121,100,100,100
10SKV149,0,0,0
15SKV017,100,100,100
15SKV014,100,100,100
15SKV016,100,100,100
15SKV003,100,100,100
15SKV002,100,100,100
15SKV004,100,100,100
15SKV009,100,100,100
15SKV010,100,100,100
15SKV012,100,100,100
15SKV011,100,100,100
15SKV015,100,100,100
15SKV005,100,100,100
