ID_Product;Quantity;Quantity_Fourniss_After_Cumule;Quantites
NTY AMORTISSEUR AVANT;5902048329721;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048329738;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048329745;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048329752;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048339676;2868407966829846;2868407966829846
NTY AMORTISSEUR ARRIERE;5902048339683;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048339690;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048339706;2868407966829846;2868407966829846
NTY AMORTISSEUR ARRIERE;5902048339713;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048339720;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048339737;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048339744;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048339751;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048339768;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048339775;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048339782;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048339799;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347077;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048347084;2868407966829846;2868407966829846
NTY AMORTISSEUR ARRIERE;5902048347091;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048347107;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347114;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347121;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347138;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048347145;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048347152;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347169;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347176;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347183;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048347190;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048347206;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347213;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048347220;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048347237;4090138207437312;4090138207437312
