ID_Product,Quantity,Quantity_Fourniss_After_Cumule,on_depot
A0502PR,1,1,1
A0503,0,0,0
A0504,10,10,10
A0505,10,10,10
A0505SEG,4,4,4
A0506,0,0,0
A0507,7,7,7
A0508,4,4,4
A0508SEG,10,10,10
A0509,10,10,10
A0510,0,0,0
A0511,10,10,10
A0512,0,0,0
A0512SEG,4,4,4
A0512S,0,0,0
A0513,10,10,10
AP0111S,10,10,10
AP0112S,0,0,0
AP0113S,10,10,10
AP0114S,0,0,0
AP0115S,10,10,10
AP0116S,0,0,0
AP0117S,10,10,10
AP0118S,10,10,10
AP0119S,10,10,10
AP0120S,6,6,6
AP0121S,6,6,6
AP0122S,1,1,1
AP0123S,10,10,10
AP0124S,0,0,0
AP0125S,0,0,0
AP0126S,10,10,10
AP0127S,5,5,5
AP0128S,0,0,0
AP0129S,6,6,6
AP0130S,10,10,10
AP0131S,0,0,0
AP0132S,8,8,8
AP0133S,0,0,0
AP0134S,0,0,0
AP0135S,10,10,10
AP0136S,0,0,0
AP0137S,6,6,6
AP0138S,0,0,0
AP0139S,10,10,10
AP0140S,10,10,10
AP0141S,10,10,10
AP0142S,0,0,0
AP0144S,0,0,0
AP0145PR,10,10,10
AP0146S,0,0,0
AP0147S,0,0,0
AP0148S,0,0,0
AP0150S,10,10,10
AP0151S,0,0,0
AP0152S,3,3,3
AP0153S,10,10,10
AP0154S,10,10,10
AP1001,10,10,10
AP1002,10,10,10
AP1003S,10,10,10
AP1004S,5,5,5
AP1005S,10,10,10
AP1006S,10,10,10
AP1007S,10,10,10
AP1008S,0,0,0
A5147,2,2,2
A5148,7,7,7
A5149,8,8,8
A5150,10,10,10
A5151,10,10,10
A5151MITSUBISHI,3,3,3
A5152,0,0,0
A5153,10,10,10
A5154,10,10,10
A5155,10,10,10
A5156,0,0,0
A5157,10,10,10
A5158,10,10,10
A5158MITSUBISHI,1,1,1
A5159,8,8,8
A5160,9,9,9
A5161,10,10,10
A5162,10,10,10
A5163,10,10,10
A5164,10,10,10
A5165,10,10,10
A5166,9,9,9
A5167,10,10,10
A5168,10,10,10
A5169,0,0,0
A5170,10,10,10
A5171,10,10,10
A5171MITSUBISHI,1,1,1
A5172,0,0,0
A5173,4,4,4
A5174,0,0,0
A5175,0,0,0
A5176,10,10,10
A5177,4,4,4
A5178,10,10,10
A5178PR,0,0,0
A5179,10,10,10
A5180,1,1,1
A5181,10,10,10
A5182,2,2,2
A5183,0,0,0
A5184,0,0,0
A5185,10,10,10
A5186,0,0,0
A5187,10,10,10
A5188,5,5,5
A5189,1,1,1
A5190,10,10,10
A5191,10,10,10
A5192,1,1,1
A0970SEG,10,10,10
A0971S,0,0,0
A0972SEG,3,3,3
A0973SEG,8,8,8
A0974SEG,10,10,10
A0975SEG,10,10,10
A0975S,0,0,0
A0976SEG,9,9,9
A0976S,8,8,8
A0977SEG,9,9,9
A0978SEG,10,10,10
A0979SEG,6,6,6
A0980SEG,10,10,10
A0981SEG,10,10,10
A0982SEG,9,9,9
A0982S,9,9,9
A0983SEG,10,10,10
A0984SEG,6,6,6
A0985S,10,10,10
A0986SEG,4,4,4
A0986S,4,4,4
A0987SEG,5,5,5
A0988SEG,10,10,10
A0989SEG,10,10,10
A0989S,2,2,2
A0990SEG,10,10,10
A0990S,10,10,10
A0991SEG,10,10,10
A0992SEG,10,10,10
A0993SEG,10,10,10
A0994SEG,10,10,10
A0995SEG,10,10,10
A0996SEG,10,10,10
A0997SEG,4,4,4
A0998S,5,5,5
A0999S,0,0,0
A1001,10,10,10
A1001PR,10,10,10
A1002,10,10,10
A1002PR,3,3,3
A1002SR,0,0,0
A1003,6,6,6
A1003PR,0,0,0
A1004,10,10,10
A1005,10,10,10
A1006,0,0,0
A1007,8,8,8
A1008,4,4,4
A1009,10,10,10
A1010,10,10,10
A0061,2,2,2
A0061P,3,3,3
A0062,10,10,10
A0062SEG,10,10,10
A0062PR,0,0,0
A0062SR,0,0,0
A0063,10,10,10
A0064,10,10,10
A0064SEG,10,10,10
A0065,6,6,6
A0066,10,10,10
A0066PR,10,10,10
A0067,10,10,10
A0067SEG,9,9,9
A0068,10,10,10
A0068PR,0,0,0
A0069,10,10,10
A0070,0,0,0
A0071,4,4,4
A0071SEG,5,5,5
A0072,10,10,10
A0072BOSCH,9,9,9
A0072SEG,10,10,10
A0072PR,0,0,0
A0072SR,0,0,0
A0073,10,10,10
A0073PR,10,10,10
A0073SR,0,0,0
A0074,10,10,10
A0074SEG,10,10,10
A0074PR,10,10,10
A0075,7,7,7
A0075SEG,10,10,10
A0076,7,7,7
A0077,8,8,8
A0077PR,10,10,10
