ID_Product,Quantity,Quantity_Fourniss_After_Cumule,(2) Main Warehouse
00307901LED,10,10,10
00307902,10,10,10
00307903,10,10,10
00307904,10,10,10
00307905,10,10,10
00307905LED,10,10,10
00308211,0,0,0
00308212,0,0,0
00309861,10,10,10
00309862,10,10,10
00309870,10,10,10
00309870S,10,10,10
00310870,10,10,10
00310870S,10,10,10
00313900,10,10,10
00313900LED,10,10,10
00313905,10,10,10
00315211,0,0,0
00315611,10,10,10
00315612,10,10,10
00315840,10,10,10
00315840S,10,10,10
00315841,10,10,10
00315870,10,10,10
00315870D,10,10,10
00315870SD,10,10,10
00315878,10,10,10
00317451,10,10,10
00317452,10,10,10
00317870,10,10,10
00317870S,10,10,10
00318861,10,10,10
00318862,10,10,10
00318870,10,10,10
00318870S,10,10,10
00319870,10,10,10
00319870S,10,10,10
00323900,10,10,10
00323900LED,10,10,10
00323905,10,10,10
00324711,10,10,10
00324712,10,10,10
00324861,10,10,10
00324861S,0,0,0
00324862,10,10,10
00324862S,0,0,0
00325870,10,10,10
00325870D,8,8,8
00325870SD,10,10,10
00325878,10,10,10
00326870,10,10,10
00326870S,10,10,10
003303111514,0,0,0
003303112514,0,0,0
0040130001,0,0,0
0040130002,10,10,10
0040130003,2,2,2
0040130004,0,0,0
0040130005,0,0,0
0040130006,10,10,10
0040130007,10,10,10
0040130008,8,8,8
0040130010,10,10,10
0040140005,9,9,9
0040140006,9,9,9
0040140007,7,7,7
0040140009,3,3,3
0040140010,10,10,10
0040140011,10,10,10
0040140013,10,10,10
0040140014,10,10,10
0040140015,10,10,10
0040140016,10,10,10
0040140017,10,10,10
0040140018,8,8,8
0040140019,9,9,9
0040140020,4,4,4
0040140021,1,1,1
0040140022,2,2,2
0040140023,6,6,6
0040140024,4,4,4
0040140025,2,2,2
0040140026,6,6,6
0040140027,3,3,3
0040140028,6,6,6
0040140029,6,6,6
0040140030,10,10,10
0040140031,3,3,3
0040140032,0,0,0
0040140033,1,1,1
0040140034,1,1,1
0040140035,0,0,0
0040140036,10,10,10
0040150001B,10,10,10
0040150003B,0,0,0
0040150004B,0,0,0
0040150011,10,10,10
0040150013,7,7,7
0040150014,10,10,10
0040150016B,2,2,2
0040150017B,5,5,5
0040150018,10,10,10
0040150019,10,10,10
